Perplexity = 187.31, Entropy = 7.55 bits
Perplexity = 98.39, Entropy = 6.62 bits
Perplexity = 87.50, Entropy = 6.45 bits
Perplexity = 108.75, Entropy = 6.76 bits
Perplexity = 130.70, Entropy = 7.03 bits
Perplexity = 92.97, Entropy = 6.54 bits
Perplexity = 155.27, Entropy = 7.28 bits
Perplexity = 79.24, Entropy = 6.31 bits
Perplexity = 116.09, Entropy = 6.86 bits
Perplexity = 118.35, Entropy = 6.89 bits
Perplexity = 110.09, Entropy = 6.78 bits
Perplexity = 141.71, Entropy = 7.15 bits
Perplexity = 160.14, Entropy = 7.32 bits
Perplexity = 125.24, Entropy = 6.97 bits
Perplexity = 132.86, Entropy = 7.05 bits
Perplexity = 136.21, Entropy = 7.09 bits
Perplexity = 116.63, Entropy = 6.87 bits
Perplexity = 118.14, Entropy = 6.88 bits
Perplexity = 141.06, Entropy = 7.14 bits
Perplexity = 121.09, Entropy = 6.92 bits
Perplexity = 125.88, Entropy = 6.98 bits
Perplexity = 185.06, Entropy = 7.53 bits
