Perplexity = 152.84, Entropy = 7.26 bits
Perplexity = 263.46, Entropy = 8.04 bits
Perplexity = 569.85, Entropy = 9.15 bits
Perplexity = 167.73, Entropy = 7.39 bits
Perplexity = 133.59, Entropy = 7.06 bits
Perplexity = 72.68, Entropy = 6.18 bits
Perplexity = 733.43, Entropy = 9.52 bits
Perplexity = 222.80, Entropy = 7.80 bits
Perplexity = 81.17, Entropy = 6.34 bits
Perplexity = 83.74, Entropy = 6.39 bits
Perplexity = 161.87, Entropy = 7.34 bits
Perplexity = 120.68, Entropy = 6.92 bits
Perplexity = 195.11, Entropy = 7.61 bits
Perplexity = 200.32, Entropy = 7.65 bits
Perplexity = 158.98, Entropy = 7.31 bits
Perplexity = 462.34, Entropy = 8.85 bits
Perplexity = 118.69, Entropy = 6.89 bits
Perplexity = 199.38, Entropy = 7.64 bits
Perplexity = 222.18, Entropy = 7.80 bits
Perplexity = 194.08, Entropy = 7.60 bits
Perplexity = 118.87, Entropy = 6.89 bits
Perplexity = 69.69, Entropy = 6.12 bits
Perplexity = 130.51, Entropy = 7.03 bits
Perplexity = 149.23, Entropy = 7.22 bits
Perplexity = 407.21, Entropy = 8.67 bits
Perplexity = 483.40, Entropy = 8.92 bits
Perplexity = 19.53, Entropy = 4.29 bits
Perplexity = 236.32, Entropy = 7.88 bits
Perplexity = 131.82, Entropy = 7.04 bits
Perplexity = 857.15, Entropy = 9.74 bits
Perplexity = 140.10, Entropy = 7.13 bits
Perplexity = 551.51, Entropy = 9.11 bits
Perplexity = 148.86, Entropy = 7.22 bits
Perplexity = 147.37, Entropy = 7.20 bits
Perplexity = 288.98, Entropy = 8.17 bits
Perplexity = 56.11, Entropy = 5.81 bits
Perplexity = 126.67, Entropy = 6.98 bits
Perplexity = 65.28, Entropy = 6.03 bits
Perplexity = 102.41, Entropy = 6.68 bits
Perplexity = 296.09, Entropy = 8.21 bits
Perplexity = 305.50, Entropy = 8.26 bits
Perplexity = 379.97, Entropy = 8.57 bits
Perplexity = 114.89, Entropy = 6.84 bits
Perplexity = 260.94, Entropy = 8.03 bits
Perplexity = 477.56, Entropy = 8.90 bits
Perplexity = 135.80, Entropy = 7.09 bits
Perplexity = 13649.82, Entropy = 13.74 bits
Perplexity = 441.48, Entropy = 8.79 bits
Perplexity = 263.30, Entropy = 8.04 bits
Perplexity = 213.47, Entropy = 7.74 bits
Perplexity = 159.54, Entropy = 7.32 bits
Perplexity = 205.92, Entropy = 7.69 bits
Perplexity = 266.13, Entropy = 8.06 bits
Perplexity = 192.71, Entropy = 7.59 bits
Perplexity = 244.50, Entropy = 7.93 bits
Perplexity = 46.16, Entropy = 5.53 bits
Perplexity = 884.46, Entropy = 9.79 bits
Perplexity = 155.55, Entropy = 7.28 bits
Perplexity = 184.78, Entropy = 7.53 bits
Perplexity = 656.78, Entropy = 9.36 bits
Perplexity = 136.61, Entropy = 7.09 bits
Perplexity = 310.44, Entropy = 8.28 bits
Perplexity = 110.35, Entropy = 6.79 bits
Perplexity = 202.11, Entropy = 7.66 bits
Perplexity = 317.90, Entropy = 8.31 bits
Perplexity = 92.13, Entropy = 6.53 bits
Perplexity = nan, Entropy = nan bits
Perplexity = 137.97, Entropy = 7.11 bits
Perplexity = 161.32, Entropy = 7.33 bits
Perplexity = 279.44, Entropy = 8.13 bits
Perplexity = 223.61, Entropy = 7.80 bits
Perplexity = 148.47, Entropy = 7.21 bits
Perplexity = 341.18, Entropy = 8.41 bits
Perplexity = 180.13, Entropy = 7.49 bits
Perplexity = 132.75, Entropy = 7.05 bits
Perplexity = 137.62, Entropy = 7.10 bits
Perplexity = 176.32, Entropy = 7.46 bits
Perplexity = 221.85, Entropy = 7.79 bits
Perplexity = 113.28, Entropy = 6.82 bits
Perplexity = 239.12, Entropy = 7.90 bits
Perplexity = 321.14, Entropy = 8.33 bits
Perplexity = 191.91, Entropy = 7.58 bits
Perplexity = 172.27, Entropy = 7.43 bits
Perplexity = 341.92, Entropy = 8.42 bits
Perplexity = 113.78, Entropy = 6.83 bits
Perplexity = 373.65, Entropy = 8.55 bits
Perplexity = 54.68, Entropy = 5.77 bits
Perplexity = 46.11, Entropy = 5.53 bits
Perplexity = 167.06, Entropy = 7.38 bits
Perplexity = 484.60, Entropy = 8.92 bits
Perplexity = 153.48, Entropy = 7.26 bits
Perplexity = 166.25, Entropy = 7.38 bits
Perplexity = 174.22, Entropy = 7.44 bits
Perplexity = 135.50, Entropy = 7.08 bits
Perplexity = 122.96, Entropy = 6.94 bits
Perplexity = nan, Entropy = nan bits
Perplexity = 92.92, Entropy = 6.54 bits
Perplexity = 111.62, Entropy = 6.80 bits
Perplexity = 929.82, Entropy = 9.86 bits
Perplexity = 202.90, Entropy = 7.66 bits
Perplexity = 153.79, Entropy = 7.26 bits
Perplexity = 984.13, Entropy = 9.94 bits
Perplexity = 176.65, Entropy = 7.46 bits
Perplexity = 232.69, Entropy = 7.86 bits
Perplexity = 395.24, Entropy = 8.63 bits
Perplexity = 393.35, Entropy = 8.62 bits
Perplexity = 154.20, Entropy = 7.27 bits
Perplexity = 226.13, Entropy = 7.82 bits
Perplexity = 203.80, Entropy = 7.67 bits
Perplexity = 466.04, Entropy = 8.86 bits
Perplexity = 209.50, Entropy = 7.71 bits
Perplexity = 173.64, Entropy = 7.44 bits
Perplexity = 262.09, Entropy = 8.03 bits
Perplexity = 615.69, Entropy = 9.27 bits
Perplexity = 117.02, Entropy = 6.87 bits
Perplexity = 50.88, Entropy = 5.67 bits
Perplexity = 50.27, Entropy = 5.65 bits
Perplexity = 229.32, Entropy = 7.84 bits
Perplexity = 518.90, Entropy = 9.02 bits
Perplexity = 423.30, Entropy = 8.73 bits
Perplexity = 190.91, Entropy = 7.58 bits
Perplexity = 185.75, Entropy = 7.54 bits
Perplexity = 191.80, Entropy = 7.58 bits
Perplexity = 174.33, Entropy = 7.45 bits
Perplexity = 183.27, Entropy = 7.52 bits
Perplexity = 398.85, Entropy = 8.64 bits
Perplexity = 225.03, Entropy = 7.81 bits
Perplexity = 159.60, Entropy = 7.32 bits
Perplexity = 471.97, Entropy = 8.88 bits
Perplexity = 158.64, Entropy = 7.31 bits
Perplexity = 77.72, Entropy = 6.28 bits
Perplexity = 360.36, Entropy = 8.49 bits
Perplexity = 331.90, Entropy = 8.37 bits
Perplexity = 265.23, Entropy = 8.05 bits
Perplexity = 295.69, Entropy = 8.21 bits
Perplexity = 286.40, Entropy = 8.16 bits
Perplexity = 454.75, Entropy = 8.83 bits
Perplexity = 91.58, Entropy = 6.52 bits
Perplexity = 212.09, Entropy = 7.73 bits
Perplexity = 285.16, Entropy = 8.16 bits
Perplexity = 75.26, Entropy = 6.23 bits
Perplexity = 215.92, Entropy = 7.75 bits
Perplexity = 344.74, Entropy = 8.43 bits
Perplexity = 195.38, Entropy = 7.61 bits
