Perplexity = 111.95, Entropy = 6.81 bits
Perplexity = 207.07, Entropy = 7.69 bits
Perplexity = 105.40, Entropy = 6.72 bits
Perplexity = 141.19, Entropy = 7.14 bits
Perplexity = 121.65, Entropy = 6.93 bits
Perplexity = 147.83, Entropy = 7.21 bits
Perplexity = 112.13, Entropy = 6.81 bits
Perplexity = 147.43, Entropy = 7.20 bits
Perplexity = 108.22, Entropy = 6.76 bits
Perplexity = 95.05, Entropy = 6.57 bits
Perplexity = 120.82, Entropy = 6.92 bits
Perplexity = 84.45, Entropy = 6.40 bits
Perplexity = 96.33, Entropy = 6.59 bits
Perplexity = 126.81, Entropy = 6.99 bits
Perplexity = 288.62, Entropy = 8.17 bits
Perplexity = 166.22, Entropy = 7.38 bits
Perplexity = 100.92, Entropy = 6.66 bits
Perplexity = 90.06, Entropy = 6.49 bits
Perplexity = 83.36, Entropy = 6.38 bits
Perplexity = 199.57, Entropy = 7.64 bits
Perplexity = 125.24, Entropy = 6.97 bits
Perplexity = 126.76, Entropy = 6.99 bits
Perplexity = 203.57, Entropy = 7.67 bits
Perplexity = 130.81, Entropy = 7.03 bits
Perplexity = 117.68, Entropy = 6.88 bits
Perplexity = 263.25, Entropy = 8.04 bits
Perplexity = 118.63, Entropy = 6.89 bits
Perplexity = 290.04, Entropy = 8.18 bits
Perplexity = 99.16, Entropy = 6.63 bits
Perplexity = 121.58, Entropy = 6.93 bits
Perplexity = 106.37, Entropy = 6.73 bits
Perplexity = 120.01, Entropy = 6.91 bits
Perplexity = 111.52, Entropy = 6.80 bits
Perplexity = 109.99, Entropy = 6.78 bits
Perplexity = 158.94, Entropy = 7.31 bits
Perplexity = 232.02, Entropy = 7.86 bits
Perplexity = 96.01, Entropy = 6.59 bits
Perplexity = 66.28, Entropy = 6.05 bits
Perplexity = 136.38, Entropy = 7.09 bits
Perplexity = 125.60, Entropy = 6.97 bits
Perplexity = 191.44, Entropy = 7.58 bits
Perplexity = 109.57, Entropy = 6.78 bits
Perplexity = 272.91, Entropy = 8.09 bits
Perplexity = 88.60, Entropy = 6.47 bits
Perplexity = 164.16, Entropy = 7.36 bits
Perplexity = 100.89, Entropy = 6.66 bits
Perplexity = 151.20, Entropy = 7.24 bits
Perplexity = 120.05, Entropy = 6.91 bits
Perplexity = 156.41, Entropy = 7.29 bits
Perplexity = 93.60, Entropy = 6.55 bits
Perplexity = 185.46, Entropy = 7.53 bits
Perplexity = 107.32, Entropy = 6.75 bits
Perplexity = 115.34, Entropy = 6.85 bits
Perplexity = 133.11, Entropy = 7.06 bits
Perplexity = 118.30, Entropy = 6.89 bits
Perplexity = 109.96, Entropy = 6.78 bits
Perplexity = 116.38, Entropy = 6.86 bits
Perplexity = 116.06, Entropy = 6.86 bits
Perplexity = 154.60, Entropy = 7.27 bits
Perplexity = 113.11, Entropy = 6.82 bits
Perplexity = 135.21, Entropy = 7.08 bits
